Figure Type,Scenario ID,Scenario Name,Method,Configuration,Selection Basis,Relative Path,Interpretation
SHAP — Cluster SHAP beeswarm,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\02_healthcare_revenue_50m__cluster_1__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster-specific global SHAP importance,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\03_industrials_revenue_20m__global_cluster_importance.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\03_industrials_revenue_20m__cluster_0__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\03_industrials_revenue_20m__cluster_1__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\03_industrials_revenue_20m__cluster_2__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster-specific global SHAP importance,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\04_consumer_cyclical_revenue_20m__global_cluster_importance.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\04_consumer_cyclical_revenue_20m__cluster_0__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\04_consumer_cyclical_revenue_20m__cluster_1__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\04_consumer_cyclical_revenue_20m__cluster_2__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster-specific global SHAP importance,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\05_non_financial_large_cap_revenue_1b__global_cluster_importance.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\05_non_financial_large_cap_revenue_1b__cluster_0__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\05_non_financial_large_cap_revenue_1b__cluster_1__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
